Tweet/Document | Cosine Similarity
mrsdogc man wish still around run dog life aint|0.293
dont eat dogsw eat hawt dog glizzi|0.275
teacher day rock star night jaraiyia alizethank 106.3 definit enjoy readytogo poundtown chicago chicago illinoi http //t.co/meqnjr7ft7|0.239
http //t.co/dhw9pnowlj|0.238
http //t.co/fse8zlxvs4 http //t.co/orw5kezqv9|0.02
support kind rock donorschoos help classroom need today http //t.co/ak5umece3n|0.02
http //t.co/2arafaxr4d http //t.co/pb1zgko2ij|0.02
sweet dream busi day pluto dogsoftwittt sweetdream goodnight http //t.co/oeqhum1sad|0.015
http //t.co/l5ipsjphoo|0.014
http //t.co/geh9wfouvk|0.014
http //t.co/vxgsc7hpdm|0.014
http //t.co/bgszdqfp5u|0.014
http //t.co/gfghap3dik|0.014
noth better color cauliflow friend 's hous 's absolut wonder day cauliflow weekend healthyfood cook http //t.co/0f9uiioil|0.011
omartalksrap http //t.co/in6ejksdvk|0.011
brokencool http //t.co/in6ejksdvk|0.011
anitalasheaa http //t.co/ebfbspxvi9|0.01
happi may day familyal power worker world foundat societi let continu fight build give peopl better world deserv http //t.co/vklcicnolb|0.01
mehdi51573700 http //t.co/qczuxzaze|0.01
challxn http //t.co/f3edomf2cb|0.01
fuck love turtl http //t.co/edptoojtbc|0.008
anywher methford man http //t.co/mnxwvtrdlz|0.008
karitozar buena noch http //t.co/wirqvtq9pt|0.007
post photo nile canyon http //t.co/jxrykwwyb|0.007
confirm need win end http //t.co/4m99bsqx6i|0.007
yall told kany villain http //t.co/ltwert00af|0.007
wan na date stripper http //t.co/hmt8vg9djf|0.007
call san agustin | puertadetierra sanjuan http //t.co/hfymecw4lv|0.006
post photo vineyard cincinnati church http //t.co/yirhpbgurw|0.006
y0_stephhh mattmason batcowl palmnft yeah let go http //t.co/gtsanzalht|0.006
better act right cuz fw wait line http //t.co/dmj3sdmm6u|0.005
sonoapollinaria brava protest putin 's authoritarian wwiii + global inhuman & amp climat harm.al resist peopl democraci & amp safe clean healthi & amp sustain environ * * unep http //t.co/oizzrh5my6 die_gdi 's alexia faus-onbargi etc http //t.co/1tr1a9k4tn|0.005
slime show worst hand helmuth claim never fold smh http //t.co/gbiudoafx2|0.005
still absolut shock abl see motionless white live trinityofterror motionlessinwhit miw http //t.co/7bvjdfr2o|0.004
amaz view confer venu poster updat come soon exo4 exoplanets4 exo4 http //t.co/ybvgy5tnwt|0.004
check work friend trevandeveld music work examin technolog music creat realli uniqu music experi http //t.co/kjwvjqudxi|0.003
promis giannis_an34 team pick-up game take ball & amp go home peopl children & amp wive ca n't fool like front everybodi fearthed cc oldmanebro ebrointheam rosenbergradio http //t.co/zjxvzvpbp|0.003
jordanaalynn tearsofjosh that truth|0.0
crazi ass dream late|0.0
deja___entendu thathav 520k follow|0.0
airbnft kenankitchen via email promot spotifi|0.0
y'all ... bpd win lmaooo|0.0
danila09f hotwif realli measur ruler-tape-guess never had/chosen measur charli ''|0.0
angryhalfmil best busi cullen street gocoog|0.0
djrothkopf therynheart like plagu arent help us w/ democraci|0.0
