document | cosine_similarity
disney world|0.613
happi 42nd birthday beauti give woman brought world best momma ever|0.298
4 hour & amp look beauti|0.236
robypaula|0.236
agirlinphilli look beauti|0.099
buck 4|0.061
4 yeezi|0.061
top 4|0.061
ad fresh honey wait anoth 5 hour|0.044
2 wayn & amp jadakiss|0.035
3 biggi & amp g herbo|0.032
michydoe27_ oh peep im look went chang|0.022
1 money man peewe longway g herbo & amp jadakiss|0.022
ram fine ass look team say ramshous|0.021
sonya7riva sony100400gm montereyzoo monterey zoo & amp vision quest|0.021
tweet aint bout nobodi dont show ya friend talmbout look wht said|0.016
brief glanc gencon event catalog look like 'm 1 2 peopl run dark sun stuff|0.015
n't submit quit appli job like ward clerk '' freseniu medic care look peopl might|0.015
sell dodger vs giant ticket 5/3 5/4 reserv 19 row seat 1 & amp 2 close alcohol food|0.015
oh sheeeit ...|0.0
boric esta semana con 24 % de aprovacion la prxima semana con 0 % que hace en la moneda|0.0
wahoo pato p1 arrowmclarensp indycar|0.0
foam roller|0.0
intern medicin grand round|0.0
dude grosean rahal big maddd|0.0
randpaul someth help state poorer poor ... useless ...|0.0
wwerollin wwe|0.0
_ineedmoarbeer_ frontstreetbrew might 've gone live lol|0.0
ye steal come raven type offens|0.0
tapjackson420|0.0
im still mad havent abl get everyth bagel|0.0
gomerpeel yeah neither that point alway script say stop stop f|0.0
share someth fun interest web3 know might help other|0.0
punk_1976 mdesbarr littlesteven_ug stevievanzandt commendatori ''|0.0
wedibayru chinaemberitrea patient dude see 5yr time eritrea shine gave wester|0.0
apena hacemo un comentario sobr loret borolaz calderon limitan|0.0
makesuretojig|0.0
ahahahaha updat set meat readi|0.0
teampelosi vegastud thank speaker pelosi|0.0
took game 1 fast couldnt tweet seri time|0.0
pioneer acendclub|0.0
myciti ||0.0
kayrosef make sick liber politician keep get vote|0.0
work festiv choru afternoon harper collegeconcert 3 pm|0.0
vicfirth sabiancymb|0.0
seaalchemyart gorgeou|0.0
brittany_hin much love|0.0
bigbald18 wtf|0.0
hdcaresok|0.0
undent bounc fave hope play rochest|0.0
big wheel teenag hustl roosterspur bridg other 'd like hear|0.0
hit stay hit|0.0
stayyyywokeee congrat|0.0
momma snow cheer celtic bc child live boston mean cheer|0.0
collinmurr wizard oz|0.0
ran becauseesu last night newparktavern 50th anniversari|0.0
50th jerseyc new park tavern|0.0
dangit|0.0
2r hr b8 give vol 5-3 lead|0.0
audeck|0.0
realblakpac inflat mani work class peopl group cant afford woke joe|0.0
need jaylen brown start hoop|0.0
gllgina1gina es mucho que trabajan|0.0
creative_persun oh damn haha|0.0
charlotteaucla1 ask mid credit scene|0.0
austinchan denomin felt open affirm justice-focus|0.0
mport25 think that entir internet scott trash|0.0
ben joyc tennesse threw fastbal 105 mph fastest pitch ever recorded. insan|0.0
day boren_amanda14|0.0
eastbaybash bankrollisaiah l|0.0
prepar yet anoth soon-to-b atomstheatr product 25th annual putnam counti spell bee 's|0.0
two littl friend face rat-egori literatur cont|0.0
lion king jr capitol civic centr manitowoc wi|0.0
authormattniemi pray bc made superior masculin attitud make lack|0.0
jakecrain_ brentsid go limb scari|0.0
word word|0.0
selentelechia life treasur|0.0
tanakatobirama see love restaur 'm glad cook shit part add pizazz lmao|0.0
mav 7|0.0
warrior 6|0.0
heat 7|0.0
career tip land job like cnc oper '' rochest ny go inform interview best way g|0.0
maldonado use pitch com|0.0
welp thatll probabl unfortun still huge auburn win one game seri|0.0
twitter porn good watch ive never seen yall wear condom|0.0
thank much share|0.0
ill forev cherish memori made peopl met fresno state|0.0
tell didnt put undergrad law school without tell didnt put|0.0
mani thing wrong bathroom|0.0
ferwatheboss wait lol|0.0
fightforwynonna earper4lif|0.0
wynonnaearp|0.0
bringwynonnahom|0.0
pryoellizardo ministrytravel en provid rhode island|0.0
locklyn33 readi info wall locklyn33|0.0
thickgrapejam goat get charm us|0.0
beerdaz alway find way creep 's groceri store 's fault believ|0.0
know know|0.0
5 jadaki|0.0
santiagobaeza ojal que ya reciban su medicamento como lo han prometido desd ms de 3 ao|0.0
today|0.0
said without speak directli|0.0
may 30 day till birthday|0.0
know move screen '' celt call time today gianni twice last possess|0.0
time import fish|0.0
zorafutur preach|0.0
bruh lmao im listen rnmiss blunt|0.0
flor de sakura motopapi rosalia|0.0
report tweet '' system complet chang|0.0
esch get bases-load jam|0.0
jonah hoeg lead tommi|0.0
score 4-0 tommi|0.0
fth|0.0
jd_in_va tomilahren bahahahaha|0.0
dnodgaard hbradley2010 huskguy rise say|0.0
loxondek jjmaples55_mst gianni great +/- play leagu better defens|0.0
imit highest form flatteri your way wish much success|0.0
